"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost"
1,2,2950,2/25/2017,"False","Approved","Solex","Standard","medium","medium",71.49,53.62
2,3,3120,5/21/2017,"True","Approved","Trek Bicycles","Standard","medium","large",2091.47,388.92
3,37,402,10/16/2017,"False","Approved","OHM Cycles","Standard","low","medium",1793.43,248.82
4,88,3135,8/31/2017,"False","Approved","Norco Bicycles","Standard","medium","medium",1198.46,381.10
5,78,787,10/1/2017,"True","Approved","Giant Bicycles","Standard","medium","large",1765.3,709.48
6,25,2339,3/8/2017,"True","Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65
7,22,1542,4/21/2017,"True","Approved","WeareA2B","Standard","medium","medium",60.34,45.26
8,15,2459,7/15/2017,"False","Approved","WeareA2B","Standard","medium","medium",1292.84,13.44
9,67,1305,8/10/2017,"False","Approved","Solex","Standard","medium","large",1071.23,380.74
10,12,3262,8/30/2017,"True","Approved","WeareA2B","Standard","medium","medium",1231.15,161.60
11,5,1986,1/17/2017,"False","Approved","Trek Bicycles","Mountain","low","medium",574.64,459.71
12,61,2783,1/5/2017,"True","Approved","OHM Cycles","Standard","low","medium",71.16,56.93
13,35,1243,2/26/2017,"True","Approved","Trek Bicycles","Standard","low","medium",1057.51,154.40
14,16,2717,9/10/2017,"False","Approved","Norco Bicycles","Standard","high","small",1661.92,1479.11
15,12,247,6/11/2017,"False","Approved","Giant Bicycles","Standard","medium","large",1765.3,709.48
16,3,2961,10/10/2017,"False","Approved","Trek Bicycles","Standard","medium","large",2091.47,388.92
17,79,2426,4/3/2017,"False","Approved","Norco Bicycles","Standard","medium","medium",1555.58,818.01
18,33,1842,6/2/2017,"False","Approved","Giant Bicycles","Standard","medium","small",1311.44,1167.18
19,54,2268,4/6/2017,"True","Approved","WeareA2B","Standard","medium","medium",1292.84,13.44
20,25,3002,1/28/2017,"True","Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65
21,27,1582,10/9/2017,"False","Approved","Trek Bicycles","Standard","medium","medium",499.53,388.72
22,37,595,6/29/2017,"True","Approved","OHM Cycles","Standard","low","medium",1793.43,248.82
23,37,2001,4/8/2017,"True","Approved","OHM Cycles","Standard","low","medium",1793.43,248.82
24,82,515,10/18/2017,"False","Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65
25,89,2822,6/11/2017,"False","Approved","WeareA2B","Touring","medium","large",1362.99,57.74
26,64,2596,1/10/2017,"False","Approved","Trek Bicycles","Standard","medium","large",1469.44,596.55
27,64,2666,4/11/2017,"True","Approved","Trek Bicycles","Standard","medium","large",1469.44,596.55
28,19,76,12/23/2017,"False","Approved","Trek Bicycles","Mountain","low","medium",574.64,459.71
29,72,3368,10/13/2017,"True","Approved","Norco Bicycles","Standard","medium","medium",360.4,270.30
30,91,1173,3/15/2017,"False","Approved","WeareA2B","Standard","low","medium",642.31,513.85
31,88,2810,9/5/2017,"True","Approved","Norco Bicycles","Standard","medium","medium",1198.46,381.10
32,1,3214,2/18/2017,"False","Approved","Giant Bicycles","Standard","medium","medium",1403.5,954.82
33,25,1272,3/20/2017,"False","Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65
34,99,2003,2/28/2017,"True","Approved","Trek Bicycles","Road","low","small",1720.7,1531.42
35,0,2171,8/20/2017,"False","Approved","Norco Bicycles","Road","medium","medium",544.05,376.84
36,92,3356,7/7/2017,"False","Approved","WeareA2B","Standard","medium","small",1415.01,1259.36
37,14,1040,1/9/2017,"False","Approved","Solex","Standard","high","large",1842.92,1105.75
38,2,2916,12/6/2017,"False","Approved","Solex","Standard","medium","medium",71.49,53.62
39,12,427,9/12/2017,"False","Approved","WeareA2B","Standard","medium","medium",1231.15,161.60
40,0,2448,11/28/2017,"True","Approved","Norco Bicycles","Road","medium","medium",544.05,376.84
41,44,2570,5/8/2017,"True","Approved","WeareA2B","Standard","medium","medium",1769.64,108.76
42,79,3398,5/14/2017,"False","Approved","Solex","Touring","medium","large",2083.94,675.03
43,76,488,3/17/2017,"False","Cancelled","WeareA2B","Standard","low","medium",642.31,513.85
44,46,165,12/22/2017,"False","Approved","Solex","Standard","low","medium",1289.85,74.51
